Restaurant,URL,Address,Cuisine,Price_category,Atmosphere,Food,Service,Weighted_score,Latitude,Longitude
Da Rocco,https://darocco.ee,Lai 6,italian,mid-range,4.4,4.7,4.6,4.62,59.439543,24.717019
Vapiano,https://vapiano.ee,Hobujaama tn 10,italian,budget,4.1,4.1,4,4.08,59.43808,24.75863
Amalfi,http://www.amalfiresto.ee/,Vana-Viru tn 13,italian,mid-range,4.4,4.3,4.4,4.34,59.4373147,24.75216
Chedi,https://chedi.ee,Sulevimägi 1,fusion,mid-range,4.2,4.3,3.9,4.2,59.44036,24.74809
Asian Fair,https://asianfair.ee,Tuukri põik 3,chinese,mid-range,3.3,4,4.4,3.94,59.43892,24.76962
Sushimon,https://sushimon.ee,Tartu mnt 84a,japanese,expensive,4.9,4.5,4.2,4.52,59.42519,24.78075
Sakura,http://www.sakuraresto.ee/,Pärnu mnt. 32,japanese,mid-range,3.7,4.4,4.1,4.2,59.43045,24.74479
Chicago 1933,https://chicago.ee,Roseni tn 8,american,mid-range,4.5,3.9,3.9,4.02,59.43906,24.75588
Frank,http://www.frankbistro.ee/,Sauna tn 2,french,mid-range,3.8,4.1,4.2,4.06,59.438905,24.755945
Hell Hunt,https://hellhunt.ee,Pikk 39 ,pub,mid-range,4.3,4.1,4.2,4.16,59.43939,24.74658
Beer House,https://beerhouse.ee,Dunkri 5 ,pub,mid-range,4.4,4.1,4,4.14,59.43681,24.74386
Scotland Yard,https://scotlandyard.ee,Mere pst 6 ,irish,mid-range,4.4,3.9,3.9,4,59.44158554,24.75288391
Must Puudel,,Kuninga tn 4,international,mid-range,4.6,4.3,4.3,4.36,59.43645477,24.74553299
Kehrwieder,http://www.kohvik.ee/,Raekoja plats 10,dessert,mid-range,4.6,4.1,4,4.18,59.43773,24.7455
Pierre Chocolaterie,https://pierre.ee,Vene 6 ,dessert,mid-range,4.5,4.3,4,4.28,59.4372,24.74725
Maiasmokk,https://maiasmokk.ee,Pikk 16 ,dessert,budget,4.5,4.3,3.9,4.26,59.43831,24.74571
Boheem,https://boheem.ee,Kopli 18 ,european,mid-range,4.5,4.2,3.8,4.18,59.44183,24.73226
OKO,http://www.okoresto.ee/,Kesk tee 27,italian,mid-range,3.1,3.7,3.6,3.56,59.49365,24.84032
Vesivärava Grill,https://vesivarava.ee,Vesivärava tn 42,american,budget,4.1,4.7,4.3,4.5,59.43424,24.78056
Kohvik Narva,https://kohviknarva.ee,Narva mnt 10,dessert,budget,3.7,4.1,3.2,3.84,59.43707,24.76332
Kohvik Sesoon,http://kohviksesoon.ee/,Kalma tn 9,european,mid-range,4.3,4.3,4.3,4.3,59.4431076,24.73624229
Taverna del Gallo Nero,http://www.tavernagallonero.com/kontakt,J. Poska tn 45,italian,mid-range,2.6,3.8,3.5,3.5,59.440143,24.7855925
FUME,https://fumeresto.ee/,Ahtri 6,spanish,expensive,4.8,4.9,4.4,4.78,59.43983,24.75823
LaBocca,https://labocca.ee/,Ahtri 6,italian,mid-range,3,1.6,2.6,2.08,59.43983,24.75823
